epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.832,1.96464,1.35113,1.43503,0.90413,0.89094,0.9366,0.47291,1.71916,0.84758,1.38107,0.000660317,0.000660317,0.000660317
2,28.0487,1.74219,0.82668,1.31316,0.93223,0.92977,0.96137,0.49328,1.67792,0.77102,1.33009,0.00130071,0.00130071,0.00130071
3,41.1568,1.72827,0.79172,1.29885,0.92928,0.93139,0.95786,0.48236,1.70283,0.77516,1.34295,0.0019147,0.0019147,0.0019147
4,51.6482,1.7279,0.79632,1.29233,0.94786,0.9356,0.96645,0.48682,1.69348,0.72558,1.34548,0.0018812,0.0018812,0.0018812
5,62.0364,1.71906,0.78738,1.29839,0.93574,0.94248,0.96964,0.49404,1.68829,0.72875,1.32746,0.0018416,0.0018416,0.0018416
6,72.3651,1.6984,0.74391,1.27694,0.94869,0.94142,0.97184,0.51256,1.65975,0.69663,1.3198,0.001802,0.001802,0.001802
7,82.795,1.65882,0.72364,1.26747,0.95207,0.94239,0.97379,0.49804,1.7244,0.68508,1.33129,0.0017624,0.0017624,0.0017624
8,93.1749,1.63872,0.70029,1.25413,0.94937,0.95372,0.97708,0.5137,1.66948,0.67514,1.31591,0.0017228,0.0017228,0.0017228
9,103.838,1.65514,0.70617,1.2651,0.9376,0.93819,0.96576,0.50343,1.69784,0.6829,1.32406,0.0016832,0.0016832,0.0016832
10,114.495,1.67408,0.70805,1.2504,0.94988,0.90766,0.95802,0.50382,1.69546,0.69483,1.3296,0.0016436,0.0016436,0.0016436
11,125.305,1.64383,0.69724,1.26312,0.7529,0.68729,0.73758,0.30099,2.15638,1.03434,1.59982,0.001604,0.001604,0.001604
12,135.973,1.64094,0.69104,1.23673,0.94871,0.95307,0.97677,0.52496,1.65011,0.66071,1.3026,0.0015644,0.0015644,0.0015644
13,146.628,1.6428,0.69307,1.25118,0.95695,0.95437,0.97512,0.53098,1.62674,0.64679,1.28454,0.0015248,0.0015248,0.0015248
14,157.293,1.60688,0.67403,1.24618,0.95319,0.95565,0.97791,0.5275,1.66612,0.63626,1.31314,0.0014852,0.0014852,0.0014852
15,168.006,1.61156,0.66142,1.23553,0.95262,0.95599,0.97539,0.53189,1.62651,0.64039,1.28351,0.0014456,0.0014456,0.0014456
16,178.889,1.58287,0.66121,1.20626,0.95459,0.95016,0.97541,0.52719,1.65192,0.64664,1.30791,0.001406,0.001406,0.001406
