epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.6424,1.32886,0.95592,1.1419,0.97258,0.95352,0.97537,0.69876,1.01136,0.54911,1.03253,0.000663477,0.000663477,0.000663477
2,41.7947,1.09045,0.61936,1.03239,0.94069,0.90724,0.95036,0.65323,1.115,0.61004,1.07935,0.00130381,0.00130381,0.00130381
3,61.933,1.07782,0.57251,1.02561,0.98125,0.96925,0.97971,0.7233,0.99012,0.51114,1.05362,0.00191774,0.00191774,0.00191774
4,82.1897,1.04121,0.55573,1.02222,0.98366,0.97279,0.98141,0.75777,0.89219,0.46967,0.9911,0.0018812,0.0018812,0.0018812
5,103.416,1.00918,0.52159,1.00577,0.98344,0.97321,0.98172,0.76545,0.87892,0.4626,0.98826,0.0018416,0.0018416,0.0018416
6,124.356,0.99845,0.51196,1.00391,0.98368,0.97623,0.98185,0.76605,0.87577,0.45459,0.98971,0.001802,0.001802,0.001802
7,145.059,0.99163,0.51191,1.00017,0.98319,0.97345,0.98182,0.76371,0.90017,0.45173,0.99092,0.0017624,0.0017624,0.0017624
8,167.291,0.95359,0.49123,0.98363,0.98592,0.97543,0.98363,0.78467,0.84711,0.42606,0.97637,0.0017228,0.0017228,0.0017228
9,188.601,0.97978,0.49003,0.99645,0.98543,0.97585,0.98323,0.76926,0.87827,0.44456,0.98112,0.0016832,0.0016832,0.0016832
10,209.422,0.96838,0.48736,0.99124,0.98462,0.97583,0.98294,0.77682,0.87048,0.4327,0.98224,0.0016436,0.0016436,0.0016436
11,230.745,0.94622,0.47826,0.98621,0.98397,0.97597,0.98352,0.78715,0.84444,0.42168,0.98319,0.001604,0.001604,0.001604
12,251.857,0.92989,0.47511,0.98318,0.98477,0.97541,0.98276,0.78239,0.84871,0.4231,0.97828,0.0015644,0.0015644,0.0015644
13,272.952,0.9295,0.46827,0.98091,0.98583,0.97656,0.98316,0.78624,0.83575,0.40948,0.9762,0.0015248,0.0015248,0.0015248
14,294.074,0.92424,0.47304,0.98255,0.98577,0.97618,0.98396,0.78521,0.84404,0.41496,0.97195,0.0014852,0.0014852,0.0014852
15,315.409,0.9198,0.46606,0.97291,0.98545,0.97693,0.98366,0.78635,0.84156,0.4128,0.97673,0.0014456,0.0014456,0.0014456
16,336.519,0.91224,0.46848,0.97649,0.98792,0.97879,0.98383,0.79002,0.82234,0.40681,0.96986,0.001406,0.001406,0.001406
17,357.821,0.9015,0.45272,0.97232,0.9858,0.97846,0.9834,0.78725,0.83618,0.40366,0.97264,0.0013664,0.0013664,0.0013664
18,379.994,0.89562,0.44768,0.9707,0.98708,0.97699,0.98374,0.78795,0.83686,0.39537,0.98447,0.0013268,0.0013268,0.0013268
19,402.192,0.90926,0.46049,0.97471,0.98612,0.97788,0.98356,0.79118,0.82624,0.3992,0.97174,0.0012872,0.0012872,0.0012872
20,426.16,0.89416,0.4438,0.97031,0.98696,0.97902,0.98375,0.79534,0.82077,0.38938,0.97064,0.0012476,0.0012476,0.0012476
21,449.578,0.8938,0.4402,0.9658,0.9869,0.97541,0.98393,0.79266,0.8219,0.39624,0.96897,0.001208,0.001208,0.001208
22,475.398,0.89147,0.44168,0.97062,0.98515,0.97867,0.98439,0.79406,0.81969,0.39322,0.97006,0.0011684,0.0011684,0.0011684
23,501.147,0.89804,0.44207,0.96681,0.98565,0.97771,0.98412,0.78462,0.85798,0.40274,0.98589,0.0011288,0.0011288,0.0011288
24,526.952,0.88094,0.43672,0.96864,0.98888,0.97683,0.98484,0.79915,0.81592,0.38369,0.97025,0.0010892,0.0010892,0.0010892
25,550.743,0.87058,0.42803,0.96183,0.98971,0.97886,0.98452,0.80127,0.80767,0.37912,0.96626,0.0010496,0.0010496,0.0010496
